ProductName,Description,Stock,Prices
Mini Ergonomic Keyboard,Designed for smaller hands with a compact layout.,40,£15
Colourful Learning Keyboard,Bright keys that make letters easier to spot for young users.,55,£14
Soft Touch Keyboard,Light and quiet keys that offer a gentle typing feel.,35,£16
Volume Limited Headphones,Set to a safe volume level to protect hearing.,50,£14
Wireless Kids Headphones,Light wireless design suited to active children.,45,£18
Padded Comfort Headphones,Soft ear pads that keep listening comfortable.,60,£16
Small Ergonomic Mouse,Shaped for small hands to help build control.,70,£12
Vertical Support Mouse,A childsized vertical mouse that supports natural wrist movement.,30,£14
Mini Gaming Controller,Scaleddown controller with an easy grip.,40,£16
Adaptive Controller for Disabled Users,Flexible input options for children with varying mobility needs.,20,£25
Wireless Child Sized Controller,A small wireless controller that removes cable clutter.,35,£35
Small Ergonomic Chair,Sized for young users with posture support.,25,£35
Adjustable Posture Chair,Back and height settings that suit growing children.,18,£42
Cushioned Study Chair,Soft seating that keeps children comfortable for longer periods.,30,£30
Daily Activity Timer,A small andeasy to read timer that supports balanced screen time.,60,£7
Chart and Timer Set,A Chart and Timer merged togethers that supports writing down task to help with time management.,40,£10
,,,
,"Group 23 Data Structure: Dummy Data
Product data outline and researching products.",,
